wavelength_nm,c5,c4,c3,c2,c1,c0
7.822519857855398868e+02,2.867303052318328212e-12,2.197628994772992026e-09,-3.054933609750318740e-06,8.581719957101377342e-04,-2.713692885525498602e-02,1.850903281913869103e+00
7.824418206240000018e+02,-1.195248454471436696e-11,1.195142521873480426e-08,-5.284623736223809718e-06,1.067491657048520032e-03,-3.463965991731913358e-02,1.951421323111650841e+00
7.826316387871401048e+02,1.091494537352847821e-11,-3.923342663053652705e-09,-1.395574336832835935e-06,6.751693444009606443e-04,-2.112628858965624745e-02,1.924204439986232362e+00
7.828214402749599685e+02,1.358748760909515509e-11,-5.861035248924953055e-09,-9.887594104610075265e-07,6.548244537878637620e-04,-2.211473613867000892e-02,1.979480299985335368e+00
7.830112250874599340e+02,4.189527879980652586e-12,-7.091171849122139064e-10,-1.833131445752631660e-06,6.854283412554768636e-04,-2.079980825558215562e-02,2.000992480559949271e+00
7.832009932246400012e+02,2.357145959300553682e-11,-1.377561336831394295e-08,1.289003053090906142e-06,3.753346193216110390e-04,-9.413971578844155044e-03,1.933611041000321329e+00
7.833907446865000566e+02,2.211599596835441800e-11,-1.216508915736411060e-08,6.861350791244786564e-07,4.751821923115413576e-04,-1.687936072568592752e-02,2.086369796778595465e+00
7.835804794730399863e+02,9.594465936317573677e-12,-3.192335832954402938e-09,-1.666491247256549722e-06,7.446480402978184572e-04,-2.908706637872283257e-02,2.161722669243603789e+00
7.837701975842600177e+02,-1.188268700956928780e-11,1.145535690903822564e-08,-5.189178822500316796e-06,1.090459485257127019e-03,-4.049446079865083592e-02,2.177989398718400693e+00
7.839598990201600373e+02,-6.982739865253125380e-12,9.000854143425756751e-09,-4.770789166069556657e-06,1.058324417545184219e-03,-3.875545384602451654e-02,2.085733802250350433e+00
7.841495837807399312e+02,2.865548200713347770e-12,2.307341757827671922e-09,-3.190460609378818897e-06,9.070109811215694906e-04,-3.349266105851991804e-02,2.066862901951405540e+00
7.843392518660000405e+02,2.223404579093198382e-11,-1.227955177248953042e-08,6.261594784729383073e-07,5.046553461521407092e-04,-1.916851922997709831e-02,2.020698457740813136e+00
7.845289032759400243e+02,-2.461544620705004291e-12,3.741539442110126445e-09,-2.940358700490034337e-06,8.191576659772465937e-04,-2.884107536297884564e-02,2.106937399592726301e+00
7.847185380105599961e+02,5.476532917353522589e-12,-7.221075574678733683e-10,-2.141530437877445596e-06,7.707077733154209546e-04,-2.777194922519539075e-02,2.027507999397578420e+00
7.849081560698599560e+02,4.951092517127858934e-12,-5.643762653726199951e-12,-2.373416552005805054e-06,7.946111555072782502e-04,-2.841003295442363907e-02,2.032214526530595311e+00
7.850977574538401313e+02,2.138544697014106938e-11,-1.045799212542814501e-08,-4.594066308155721850e-08,5.751052475946324223e-04,-1.948886409907365710e-02,1.938848885302912439e+00
7.852873421624999537e+02,2.132139401901453380e-11,-1.105920367232555464e-08,2.989335642853115093e-07,5.218101706854802284e-04,-1.794914140573368455e-02,1.945055690880274746e+00
7.854769101958399915e+02,-2.268165832065940402e-12,5.885991626561369539e-09,-4.015999433558073715e-06,9.772372163456548733e-04,-3.515521360529716421e-02,2.072421504278523674e+00
7.856664615538600174e+02,6.707471760892930344e-12,-1.351189316396941908e-09,-1.981336073831183559e-06,7.377538140112475766e-04,-2.470556748840786396e-02,2.008427871295528355e+00
7.858559962365600313e+02,4.383328539210322364e-12,4.235686433822398405e-10,-2.485565548997944928e-06,7.992475132812034561e-04,-2.784487269748787616e-02,2.069673975029470814e+00
7.860455142439400333e+02,4.759594169098244756e-12,9.351188575010278760e-10,-2.836204467365255275e-06,8.686802097957764925e-04,-3.210479007443281518e-02,2.046018664381823005e+00
7.862350155760000234e+02,1.780634196500349015e-11,-7.690712880545433606e-09,-8.225673474756508200e-07,6.737068606646232733e-04,-2.484245875886150270e-02,1.934480133805519086e+00
7.864245002327400016e+02,5.343968039234439595e-13,3.064749800657660004e-09,-3.188474389744346934e-06,8.862913377527429715e-04,-3.098433484244933825e-02,1.904362184960282756e+00
